0.122000	0.130565	-35.190857	-35.060292	
0.123000	0.132719	-35.190885	-35.058166	
0.124000	0.134892	-35.190915	-35.056023	
0.125000	0.137081	-35.190944	-35.053863	
0.126000	0.139289	-35.190974	-35.051685	
0.127000	0.141515	-35.191005	-35.049490	
0.128000	0.143758	-35.191036	-35.047278	
0.129000	0.146019	-35.191068	-35.045049	
0.130000	0.148298	-35.191100	-35.042802	
0.131000	0.150594	-35.191132	-35.040538	
0.132000	0.152909	-35.191165	-35.038257	
0.133000	0.155241	-35.191199	-35.035958	
0.134000	0.157591	-35.191232	-35.033642	
0.135000	0.159959	-35.191267	-35.031308	
0.136000	0.162344	-35.191302	-35.028958	
0.137000	0.164748	-35.191337	-35.026590	
0.138000	0.167169	-35.191373	-35.024205	
0.139000	0.169608	-35.191410	-35.021802	
0.140000	0.172065	-35.191447	-35.019382	
0.141000	0.174539	-35.191484	-35.016945	
0.142000	0.177032	-35.191522	-35.014490	
0.143000	0.179542	-35.191561	-35.012019	
0.144000	0.182071	-35.191600	-35.009530	
0.145000	0.184617	-35.191640	-35.007023	
0.146000	0.187181	-35.191680	-35.004499	
0.147000	0.189762	-35.191721	-35.001958	
0.148000	0.192362	-35.191762	-34.999400	
0.149000	0.194980	-35.191804	-34.996825	
0.150000	0.197615	-35.191847	-34.994232	
0.151000	0.200268	-35.191890	-34.991622	
0.152000	0.202940	-35.191934	-34.988994	
0.153000	0.205629	-35.191978	-34.986349	
0.154000	0.208336	-35.192023	-34.983687	
0.155000	0.211061	-35.192069	-34.981008	
0.156000	0.213804	-35.192115	-34.978311	
0.157000	0.216564	-35.192162	-34.975597	
0.158000	0.219343	-35.192209	-34.972866	
0.159000	0.222140	-35.192257	-34.970118	
0.160000	0.224954	-35.192306	-34.967352	
0.161000	0.227787	-35.192355	-34.964569	
0.162000	0.230637	-35.192405	-34.961768	
0.163000	0.233505	-35.192456	-34.958951	
0.164000	0.236392	-35.192507	-34.956116	
0.165000	0.239296	-35.192560	-34.953264	
0.166000	0.242218	-35.192612	-34.950394	
0.167000	0.245158	-35.192666	-34.947507	
0.168000	0.248116	-35.192720	-34.944603	
0.169000	0.251093	-35.192775	-34.941682	
0.170000	0.254087	-35.192830	-34.938744	
0.171000	0.257099	-35.192887	-34.935788	
0.172000	0.260129	-35.192944	-34.932815	
0.173000	0.263177	-35.193001	-34.929824	
0.174000	0.266243	-35.193060	-34.926816	
0.175000	0.269328	-35.193119	-34.923791	
0.176000	0.272430	-35.193179	-34.920749	
0.177000	0.275550	-35.193240	-34.917690	
0.178000	0.278688	-35.193301	-34.914613	
0.179000	0.281845	-35.193364	-34.911519	
0.180000	0.285019	-35.193427	-34.908408	
0.181000	0.288212	-35.193491	-34.905279	
